,A ID,B ID,Race Margin,Win % Margin,Skill Margin,Game Margin,AvgPPM Margin,Win Margin,Gender Matchup,State
17162,10043086,10022848,-2.0,17.97026502908856,-20,-84,0.6399999999999988,6.0,-1,18
17163,10030044,10022848,0.0,0.8671553727874297,-7,-64,-0.6699999999999999,-3.0,0,18
17164,10030285,10022848,1.0,0.7079997353271992,-5,-39,-0.7599999999999998,1.0,0,18
17165,10012599,10022848,-2.0,2.801995798319332,-18,74,-0.5199999999999996,-2.0,0,18
17166,10012613,10022848,-3.0,-2.628285356695862,-63,70,-0.9800000000000004,-3.0,0,18
17167,10009342,10035072,3.0,1.3086964636650222,30,56,0.25,2.0,0,18
17171,10009342,10035072,4.0,1.3086964636650222,30,56,0.25,-2.0,0,18
17175,10009349,10035072,0.0,-0.8243804731083202,0,16,0.02000000000000135,5.0,0,18
17179,10009349,10035072,1.0,-0.8243804731083202,0,16,0.02000000000000135,-2.0,0,18
17183,10009335,10035072,0.0,-6.634647721540269,-15,84,-0.5899999999999999,-4.0,0,18
17187,10009335,10035072,1.0,-6.634647721540269,-15,84,-0.5899999999999999,-3.0,0,18
17191,10009335,10035072,0.0,-6.634647721540269,-15,84,-0.5899999999999999,-1.0,0,18
17195,10043087,10035072,-3.0,-11.56885824785607,-40,-107,-1.2199999999999989,-1.0,0,18
17196,10012623,10035072,2.0,-1.4518991835285746,40,69,-0.1399999999999988,-1.0,0,18
17197,10012623,10035072,4.0,-1.4518991835285746,40,69,-0.1399999999999988,1.0,0,18
17198,10045663,10035072,-2.0,-20.340788072417467,-23,-117,-3.1899999999999995,-1.0,0,18
17199,10041287,10035072,-1.0,-4.3783467578634685,-12,-88,-0.47999999999999865,3.0,0,18
17200,10024302,10035072,0.0,1.8814341498047753,-8,-59,-0.1399999999999988,-2.0,0,18
17201,10009344,10035072,4.0,-5.932185921879835,34,58,-0.5,-2.0,0,18
17205,10038558,10035072,-1.0,2.325878594249211,-13,-98,0.47000000000000064,3.0,0,18
17206,10038558,10035072,0.0,2.325878594249211,-13,-98,0.47000000000000064,3.0,0,18
17207,10020296,10035072,0.0,4.604024289613449,-4,-38,0.5899999999999999,1.0,0,18
17208,10019850,10035072,-1.0,5.27324701530182,-12,-39,0.41000000000000014,1.0,0,19
17209,10009338,10035072,1.0,-5.8908701742237,1,-16,-0.4499999999999993,-2.0,0,18
17213,10032775,10035072,-1.0,-3.674121405750796,-20,-113,-1.1899999999999995,3.0,-1,18
17214,10040771,10035072,-1.0,-12.996155304055875,-20,-90,-2.329999999999999,-2.0,0,18
17215,10017025,10035072,4.0,2.454910852313702,40,-54,0.3000000000000007,-1.0,0,18
17216,10009346,10035072,0.0,-3.4302189667264074,-16,26,-0.46999999999999886,1.0,-1,18
17220,10010488,10035072,0.0,-0.34078807241745324,-13,-115,0.0,-1.0,0,18
17221,10009342,10034789,0.0,0.43736332396127864,9,144,-0.370000000000001,4.0,0,18
17225,10022848,10034789,-1.0,-3.284950343773872,1,61,-0.41000000000000014,6.0,0,18
17226,10041287,10034789,-4.0,-5.249679897567212,-33,0,-1.0999999999999996,4.0,0,18
17227,10012767,10034789,1.0,-3.4176349965823647,8,56,-1.2300000000000004,1.0,0,18
17228,10009656,10034789,-4.0,-4.8216976393771915,-52,105,-0.6400000000000006,-3.0,-1,19
17232,10027774,10034789,0.0,7.95454545454546,4,-30,-0.0600000000000005,3.0,0,18
17233,10009342,10012601,6.0,6.834669721267673,68,151,0.6899999999999995,1.0,1,18
17237,10010330,10012601,0.0,10.903575989782894,2,108,1.0700000000000003,-1.0,0,18
17238,10010329,10012601,0.0,5.101851851851855,18,206,0.5399999999999991,1.0,1,18
17240,10012609,10012601,1.0,-1.5346023314150798,12,114,-0.10999999999999943,-1.0,0,18
17241,10026563,10012601,0.0,7.527527527527525,24,71,0.5700000000000003,2.0,1,18
